Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24,lower,higher
India,Bachelor’s degree,Data Scientist,5-10 years,Python,R,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,40000-49999,40000.0,49999.0
India,Master’s degree,Student,3-5 years,Python,,,,C++,,,,,,,,,R,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
India,Master’s degree,Student,1-2 years,Python,,,C,C++,,Javascript,,,,,,,Python,,,,Bayesian Approaches,Evolutionary Approaches,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,,,
Italy,Bachelor’s degree,Software Engineer,10-20 years,Python,R,SQL,,,Java,Javascript,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,30000-39999,30000.0,39999.0
Poland,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,30000-39999,30000.0,39999.0
Mexico,Doctoral degree,Other,20+ years,Python,,SQL,,,Java,Javascript,,,,,,,Python,,,,Bayesian Approaches,,,,,,,,,7500-9999,7500.0,9999.0
Sri Lanka,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,,,
United States of America,Master’s degree,Currently not employed,1-2 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Professional degree,Student,1-2 years,Python,,,C,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,C,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Master’s degree,Product/Project Manager,10-20 years,Python,,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,90000-99999,90000.0,99999.0
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bachelor’s degree,Software Engineer,3-5 years,,,,,,,Javascript,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,5000-7499,5000.0,7499.0
United States of America,Master’s degree,Software Engineer,5-10 years,Python,,,,C++,,,,,Bash,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,250000-299999,250000.0,299999.0
India,Master’s degree,Student,1-2 years,,,,C,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
United States of America,Master’s degree,Business Analyst,3-5 years,,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,90000-99999,90000.0,99999.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,60000-69999,60000.0,69999.0
India,Master’s degree,Currently not employed,5-10 years,Python,,SQL,,,,Javascript,,,,,,,Python,,,,,,,,,,,None,,,,
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,,,
Greece,Bachelor’s degree,Currently not employed,5-10 years,,R,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,
India,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,7500-9999,7500.0,9999.0
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,,,
Brazil,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,10000-14999,10000.0,14999.0
India,I prefer not to answer,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Ukraine,Master’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Sweden,Master’s degree,Software Engineer,20+ years,Python,,SQL,C,C++,Java,Javascript,,,,MATLAB,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,Generative Adversarial Networks,Recurrent Neural Networks,,,,70000-79999,70000.0,79999.0
United States of America,Doctoral degree,Student,1-2 years,Python,R,,,,,,,,Bash,,,,R,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,,,
United States of America,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,125000-149999,125000.0,149999.0
Other,Bachelor’s degree,Student,< 1 years,Python,R,,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
Taiwan,Master’s degree,Other,< 1 years,Python,,,,,,,,,,,,,SQL,,,,,,,,,Recurrent Neural Networks,,,,30000-39999,30000.0,39999.0
Germany,Doctoral degree,Research Scientist,20+ years,Python,R,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,50000-59999,50000.0,59999.0
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Master’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,50000-59999,50000.0,59999.0
Taiwan,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Brazil,Doctoral degree,Research Scientist,3-5 years,Python,R,,,,,,,,,,,,R,,,,,,,,,,,,Other,25000-29999,25000.0,29999.0
Pakistan,Bachelor’s degree,Student,1-2 years,,,SQL,C,C++,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
Other,No formal education past high school,Currently not employed,< 1 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
India,Master’s degree,Other,3-5 years,Python,R,,,,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Currently not employed,< 1 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,,,
Japan,Master’s degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,7500-9999,7500.0,9999.0
Viet Nam,Professional degree,Data Scientist,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,10000-14999,10000.0,14999.0
Brazil,Master’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,30000-39999,30000.0,39999.0
Russia,Doctoral degree,Research Scientist,10-20 years,Python,,,C,C++,,,,,,,,Other,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,30000-39999,30000.0,39999.0
Other,No formal education past high school,Student,1-2 years,Python,,SQL,,,Java,,,,Bash,,,,Javascript,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Colombia,Bachelor’s degree,Data Analyst,< 1 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,None,,10000-14999,10000.0,14999.0
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,C++,,,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Data Scientist,5-10 years,Python,R,,,,,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,70000-79999,70000.0,79999.0
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,20+ years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,90000-99999,90000.0,99999.0
India,Master’s degree,Student,5-10 years,Python,,SQL,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Bachelor’s degree,Currently not employed,3-5 years,Python,R,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Brazil,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,None,,,,
Russia,Bachelor’s degree,Software Engineer,1-2 years,Python,,SQL,,C++,Java,,,,,,,Other,Python,,,,,,,,,,,,,15000-19999,15000.0,19999.0
Netherlands,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,50000-59999,50000.0,59999.0
Japan,Master’s degree,Student,3-5 years,Python,R,,,,Java,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Professional degree,Data Scientist,10-20 years,Python,R,SQL,C,C++,Java,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,50000-59999,50000.0,59999.0
India,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,C++,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,5000-7499,5000.0,7499.0
India,Master’s degree,Student,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
Italy,Master’s degree,Student,< 1 years,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,
Other,Some college/university study without earning a bachelor’s degree,Other,1-2 years,,,,,,,,,,,,,Other,Python,,,,,,,,,,,,,50000-59999,50000.0,59999.0
India,Bachelor’s degree,Data Analyst,1-2 years,,,SQL,C,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,20000-24999,20000.0,24999.0
Egypt,Bachelor’s degree,Student,< 1 years,,,,,,,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
Switzerland,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Data Analyst,1-2 years,Python,,SQL,C,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,5000-7499,5000.0,7499.0
India,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,,,
India,Master’s degree,Currently not employed,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
India,Master’s degree,Student,< 1 years,Python,,SQL,C,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,5000-7499,5000.0,7499.0
Germany,Doctoral degree,Research Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,15000-19999,15000.0,19999.0
Colombia,Master’s degree,Business Analyst,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,5000-7499,5000.0,7499.0
Turkey,Doctoral degree,Student,1-2 years,,,,,,,,,,,MATLAB,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Some college/university study without earning a bachelor’s degree,Currently not employed,1-2 years,Python,,,,C++,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Kenya,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Spain,Master’s degree,Data Scientist,5-10 years,Python,R,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,40000-49999,40000.0,49999.0
India,Bachelor’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,
Germany,Bachelor’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,70000-79999,70000.0,79999.0
Nigeria,Bachelor’s degree,Student,3-5 years,Python,,,,,Java,,,,,,,,Python,,Decision Trees or Random Forests,,,,,,,,,,,,,
Turkey,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,30000-39999,30000.0,39999.0
China,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,5-10 years,Python,,,,,,Javascript,,,,,,Other,Python,,,,,,,,,,,,,60000-69999,60000.0,69999.0
Turkey,Bachelor’s degree,Statistician,1-2 years,Python,R,SQL,C,,,,,,,MATLAB,,,C++,,,,,,,,,,,,,,,
Brazil,Doctoral degree,Business Analyst,5-10 years,Python,R,,,,,,,,Bash,,,,Python,,,,,,,,,,,,,7500-9999,7500.0,9999.0
Pakistan,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,20000-24999,20000.0,24999.0
United States of America,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Bangladesh,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,,,Recurrent Neural Networks,,,Other,,,
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Mexico,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,,,,,,,15000-19999,15000.0,19999.0
Germany,Master’s degree,Research Scientist,3-5 years,Python,R,,,,,,,,Bash,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,80000-89999,80000.0,89999.0
Brazil,Master’s degree,Student,< 1 years,Python,R,SQL,C,,,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,30000-39999,30000.0,39999.0
India,Master’s degree,Student,3-5 years,Python,,SQL,,C++,,,,,,,,,Python,,,,,,,,,,,None,,,,
Turkey,Doctoral degree,Research Scientist,3-5 years,Python,,,,,,,,,,MATLAB,,,Python,,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,10000-14999,10000.0,14999.0
Australia,Master’s degree,Other,1-2 years,Python,R,SQL,,,,,,,,,,,Python,,,,,,,,,,,None,,20000-24999,20000.0,24999.0
China,Master’s degree,Other,< 1 years,Python,,,,,,,,,,,,,MATLAB,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,15000-19999,15000.0,19999.0
India,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
Other,Master’s degree,Data Scientist,3-5 years,,,,,,,,,,,MATLAB,,,Other,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Germany,Bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
Other,Master’s degree,Student,1-2 years,,,,,,Java,,,,,,,,Other,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
Other,Doctoral degree,Research Scientist,20+ years,,,,C,,,,,,,MATLAB,,,Python,,,,Bayesian Approaches,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,20000-24999,20000.0,24999.0
Switzerland,Master’s degree,Currently not employed,20+ years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
India,Bachelor’s degree,Software Engineer,3-5 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Student,3-5 years,Python,R,SQL,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,,,
China,Doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Product/Project Manager,5-10 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Master’s degree,Business Analyst,3-5 years,Python,R,SQL,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Currently not employed,1-2 years,Python,,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,Evolutionary Approaches,,,,,,,,,,
Turkey,Professional degree,Research Scientist,10-20 years,Python,R,SQL,C,,,Javascript,,,,MATLAB,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,10000-14999,10000.0,14999.0
Morocco,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Portugal,Doctoral degree,Data Analyst,5-10 years,,R,,,,,,,,,,,Other,Python,Linear or Logistic Regression,,,,,,,,,,,,15000-19999,15000.0,19999.0
Sri Lanka,I prefer not to answer,Student,3-5 years,Python,,,,,,Javascript,,,,,,,Python,,,,,,,,,,,None,,,,
United States of America,Master’s degree,Currently not employed,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
United States of America,Master’s degree,Product/Project Manager,< 1 years,,,,,,,,,,,,None,,None,,,,,,,,,,,,,20000-24999,20000.0,24999.0
Pakistan,No formal education past high school,Student,1-2 years,Python,,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,,,,,,
Spain,Bachelor’s degree,Business Analyst,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,50000-59999,50000.0,59999.0
Australia,Doctoral degree,Other,3-5 years,,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,125000-149999,125000.0,149999.0
Malaysia,Doctoral degree,Student,5-10 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
Switzerland,Doctoral degree,Student,3-5 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
Russia,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,None,,,,
Other,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,50000-59999,50000.0,59999.0
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
South Africa,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,Java,,,,,,,Other,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,,,
Japan,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,20+ years,Python,,SQL,,,,Javascript,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,125000-149999,125000.0,149999.0
Brazil,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
India,Bachelor’s degree,Business Analyst,3-5 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,7500-9999,7500.0,9999.0
Argentina,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,
India,Bachelor’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Egypt,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,SQL,C,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Republic of...",Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,,,
Poland,Master’s degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,None,,,,,,,,,,,,,,,
Poland,Master’s degree,Data Scientist,10-20 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,60000-69999,60000.0,69999.0
Spain,Bachelor’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,25000-29999,25000.0,29999.0
United States of America,Doctoral degree,Student,< 1 years,Python,R,,,,,,,,,,,Other,R,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,,,
United States of America,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,Bash,,,,Python,,,,,,,,,,,,,90000-99999,90000.0,99999.0
France,Master’s degree,Data Scientist,10-20 years,Python,R,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,70000-79999,70000.0,79999.0
