Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24
Pakistan,Master’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,SQL,,,,,,,,,,,,,"1,000-1,999"
Egypt,Bachelor’s degree,Data Analyst,1-2 years,Python,,,,,,Javascript,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"7,500-9,999"
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-2 years,,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"40,000-49,999"
United States of America,Master’s degree,Other,5-10 years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,None,,"250,000-299,999"
United States of America,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,Swift,,,,,Python,,,,,,,,,,,,,
United States of America,Some college/university study without earning a bachelor’s degree,Other,3-5 years,Python,,,,,,,,,,,,Other,Python,,,,,,,,,,,,,"150,000-199,999"
Taiwan,Bachelor’s degree,Student,3-5 years,Python,,,,C++,Java,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,
Egypt,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,R,,,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,
India,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Doctoral degree,Research Scientist,10-20 years,Python,,,,C++,,,,Swift,,,,,Python,Linear or Logistic Regression,,,,Evolutionary Approaches,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,"20,000-24,999"
India,Master’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,C,C++,,,,,,,,,Python,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,
India,Master’s degree,Other,< 1 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"5,000-7,499"
India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,
Turkey,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,"10,000-14,999"
Nigeria,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Morocco,Doctoral degree,Software Engineer,< 1 years,Python,,SQL,C,,Java,Javascript,,,Bash,,,,Python,,,,,,,,,,,,,
Other,Master’s degree,Statistician,< 1 years,,R,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,$0-999
India,Doctoral degree,Research Scientist,10-20 years,Python,,SQL,,,Java,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"10,000-14,999"
United States of America,I prefer not to answer,Product/Project Manager,10-20 years,Python,,,C,,,,,,,MATLAB,,,Python,,,,,,,,,,,None,,$0-999
United States of America,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"70,000-79,999"
United States of America,Master’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Russia,Master’s degree,Student,1-2 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Germany,Bachelor’s degree,Other,10-20 years,Python,R,SQL,C,,Java,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"100,000-124,999"
United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Master’s degree,Data Analyst,3-5 years,,,SQL,,,,,,,,,,Other,SQL,,,,,,,,,,,,,"10,000-14,999"
Japan,I prefer not to answer,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,
Malaysia,Bachelor’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"7,500-9,999"
Japan,Bachelor’s degree,Software Engineer,20+ years,,,,C,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"70,000-79,999"
France,Doctoral degree,Software Engineer,3-5 years,Python,,,C,C++,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,"100,000-124,999"
Ukraine,No formal education past high school,Data Scientist,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,$0-999
India,Bachelor’s degree,Data Analyst,< 1 years,Python,R,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,$0-999
India,Bachelor’s degree,Student,< 1 years,Python,,,C,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Sri Lanka,Professional degree,Software Engineer,1-2 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,$0-999
Morocco,Professional degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,Convolutional Neural Networks,,,,,,"10,000-14,999"
Kenya,Doctoral degree,Software Engineer,10-20 years,Python,,SQL,,,Java,,,,,,,,Python,,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"1,000-1,999"
Ireland,Master’s degree,Data Analyst,10-20 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"50,000-59,999"
Australia,Master’s degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"60,000-69,999"
Mexico,Master’s degree,Student,3-5 years,Python,,,,C++,,,,,,MATLAB,,,C++,Linear or Logistic Regression,,,,,,,,Recurrent Neural Networks,,,,
United States of America,Bachelor’s degree,Product/Project Manager,20+ years,Python,,SQL,,,Java,Javascript,,,Bash,,,Other,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,"150,000-199,999"
India,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python,,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"15,000-19,999"
Other,Doctoral degree,Business Analyst,20+ years,,,,,,,,,,,,,Other,Other,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"80,000-89,999"
Morocco,I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Doctoral degree,Data Scientist,10-20 years,Python,R,,C,,,Javascript,,,,MATLAB,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"1,000-1,999"
United States of America,Master’s degree,Product/Project Manager,20+ years,,R,SQL,,,,Javascript,,,,,,Other,R,,,,,,,,,,,,,"90,000-99,999"
Other,Master’s degree,Statistician,5-10 years,,R,,,,,,,,,,,,C++,,,,,,,,,,,,,"1,000-1,999"
Nepal,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,C++,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"10,000-14,999"
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,,,C++,,,,,,,,,C++,,,,,,,,,,,None,,
India,Bachelor’s degree,Student,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,
Bangladesh,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
Morocco,Master’s degree,Software Engineer,10-20 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,Python,,,,Bayesian Approaches,,,,,,,,,"10,000-14,999"
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"60,000-69,999"
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,C,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
South Africa,Bachelor’s degree,Software Engineer,3-5 years,Python,R,SQL,C,C++,Java,Javascript,,Swift,Bash,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"1,000-1,999"
Greece,Master’s degree,Student,1-2 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
South Africa,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Brazil,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,
Indonesia,Some college/university study without earning a bachelor’s degree,Other,< 1 years,Python,,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,$0-999
United States of America,Bachelor’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,Javascript,,,,,,Other,Python,,,,,,,,,,,,,"80,000-89,999"
Belarus,Bachelor’s degree,Student,1-2 years,,,,,C++,,,,,,,,,C++,,,,,,,,,,,,,
United States of America,Master’s degree,Other,5-10 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"100,000-124,999"
India,Master’s degree,Student,< 1 years,Python,,,C,C++,,,,,,,,,Python,,,,,,,,,,,,,
United States of America,Master’s degree,Other,20+ years,Python,,,C,C++,,,,,Bash,,,,Python,,,,,,,,,,,,,"125,000-149,999"
India,Bachelor’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,,,,Python,,,,Bayesian Approaches,,,,,,,,,$0-999
Belarus,Master’s degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"7,500-9,999"
United States of America,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Master’s degree,Data Analyst,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"10,000-14,999"
Canada,Some college/university study without earning a bachelor’s degree,Other,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"70,000-79,999"
India,Bachelor’s degree,Student,< 1 years,Python,,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Egypt,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"70,000-79,999"
Brazil,Master’s degree,Research Scientist,< 1 years,Python,R,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"10,000-14,999"
United States of America,Master’s degree,Student,< 1 years,Python,,,C,C++,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
Ukraine,Master’s degree,Software Engineer,20+ years,Python,,,,C++,,,,,,,,Other,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"10,000-14,999"
India,Bachelor’s degree,Student,3-5 years,Python,,,C,C++,,,,,Bash,MATLAB,,,MATLAB,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,
France,Doctoral degree,Research Scientist,20+ years,Python,,,C,C++,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"50,000-59,999"
India,Bachelor’s degree,Data Analyst,1-2 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,$0-999
India,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"7,500-9,999"
India,Bachelor’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"90,000-99,999"
South Korea,I prefer not to answer,Currently not employed,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Colombia,Master’s degree,Software Engineer,< 1 years,Python,R,,,C++,,,,,,,,,R,Linear or Logistic Regression,,,,,,,,,,,,"10,000-14,999"
India,Bachelor’s degree,Student,5-10 years,Python,,SQL,C,C++,,,,,,MATLAB,,,C,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
Japan,Master’s degree,Machine Learning Engineer,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,,
Mexico,Doctoral degree,Software Engineer,20+ years,Python,,SQL,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"3,000-3,999"
Other,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
France,Master’s degree,Data Scientist,20+ years,Python,R,SQL,,,,Javascript,,,,,,,SQL,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"90,000-99,999"
India,Bachelor’s degree,Student,< 1 years,Python,,,C,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Russia,Master’s degree,Currently not employed,1-2 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Professional degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Spain,Master’s degree,Software Engineer,20+ years,Python,,,,,Java,Javascript,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,"40,000-49,999"
Nigeria,Master’s degree,Currently not employed,1-2 years,Python,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
United States of America,Master’s degree,DBA/Database Engineer,20+ years,Python,,SQL,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,"125,000-149,999"
Other,Master’s degree,Currently not employed,3-5 years,Python,,,,,,Javascript,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,
Viet Nam,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,$0-999
Canada,Master’s degree,Software Engineer,1-2 years,,,,,,,Javascript,,,,,,,,,,,,,,,,,,,,
Indonesia,Bachelor’s degree,Research Scientist,3-5 years,Python,,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,"40,000-49,999"
Japan,I prefer not to answer,Currently not employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Master’s degree,Student,< 1 years,,R,SQL,,,,,,,,,,,R,,,,,,,,,,,None,,
Other,Master’s degree,Machine Learning Engineer,1-2 years,Python,,SQL,,,Java,,,,,,,Other,C++,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,Other,"2,000-2,999"
Spain,Doctoral degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"100,000-124,999"
India,Master’s degree,Other,3-5 years,,R,SQL,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"30,000-39,999"
Italy,Doctoral degree,Research Scientist,20+ years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"90,000-99,999"
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Other,10-20 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,"60,000-69,999"
Germany,Master’s degree,Data Scientist,5-10 years,,R,SQL,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"125,000-149,999"
"Iran, Islamic Republic of...",Master’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
Turkey,Bachelor’s degree,Other,5-10 years,Python,,,C,,,,,,,,,,Python,,,,,,,,,,,,,"20,000-24,999"
France,Master’s degree,Machine Learning Engineer,10-20 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,C++,,,,,,,,,C,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Japan,Bachelor’s degree,Product/Project Manager,20+ years,Python,,SQL,C,,,Javascript,,,,,,Other,Python,,,,,,,,,,,None,,"4,000-4,999"
United States of America,Master’s degree,Data Analyst,3-5 years,,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"80,000-89,999"
India,Bachelor’s degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,$0-999
Nigeria,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,Other,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,$0-999
Russia,Master’s degree,Research Scientist,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,"30,000-39,999"
Portugal,Master’s degree,Student,< 1 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
India,Doctoral degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"10,000-14,999"
Pakistan,Master’s degree,Currently not employed,5-10 years,Python,,,,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Data Analyst,< 1 years,Python,R,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,,,,,,,
Other,Doctoral degree,Student,3-5 years,Python,,,C,C++,Java,,,,,,,,Python,,,,,,,,,,,,,
Canada,Doctoral degree,Research Scientist,10-20 years,Python,,,C,C++,,,,,,,,,Python,,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"100,000-124,999"
Canada,Bachelor’s degree,Other,5-10 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"50,000-59,999"
Portugal,Master’s degree,Product/Project Manager,3-5 years,,,SQL,C,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,$0-999
India,Bachelor’s degree,Product/Project Manager,5-10 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,"30,000-39,999"
Argentina,Master’s degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,Bash,,,Other,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"20,000-24,999"
Other,Master’s degree,Student,< 1 years,Python,R,SQL,,C++,Java,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,
China,Bachelor’s degree,Student,3-5 years,,,,,,Java,,,,,,,,C,,,,,,,,,,,,,
Japan,Master’s degree,Research Scientist,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"50,000-59,999"
Chile,Professional degree,Data Analyst,1-2 years,Python,,SQL,,,,Javascript,,,,,,,Other,,,,,,,Convolutional Neural Networks,,,,,,"1,000-1,999"
Canada,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
Other,Bachelor’s degree,Currently not employed,20+ years,Python,,SQL,,,,,,,,,,Other,Javascript,,,,,,,,,,,,,
Nigeria,Master’s degree,Student,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Other,Doctoral degree,Data Analyst,5-10 years,,R,SQL,,C++,,Javascript,,,Bash,,,,SQL,Linear or Logistic Regression,,,,,,,,,,,,"60,000-69,999"
Other,Master’s degree,Data Analyst,3-5 years,,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,"10,000-14,999"
India,Bachelor’s degree,Student,3-5 years,Python,,SQL,,C++,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Russia,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,C++,,,,,,,,,,,,,
India,Master’s degree,Research Scientist,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"10,000-14,999"
India,Bachelor’s degree,Data Engineer,5-10 years,,,SQL,,,Java,,,,,,,,Python,,,,,,,,,,,None,,"25,000-29,999"
India,Master’s degree,Software Engineer,5-10 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"1,000-1,999"
South Africa,Master’s degree,Other,5-10 years,Python,,,,,,,,,,,,,Python,,,,Bayesian Approaches,Evolutionary Approaches,,Convolutional Neural Networks,,,,,Other,"1,000-1,999"
