Q3,Q4,Q5,Q6,Q8
Other,Master’s degree,Machine Learning Engineer,20+ years,Python
United States of America,Bachelor’s degree,Data Scientist,5-10 years,Python
Egypt,Master’s degree,Currently not employed,3-5 years,R
Nigeria,Master’s degree,Data Analyst,1-2 years,Python
United States of America,Bachelor’s degree,Software Engineer,3-5 years,Python
Canada,Bachelor’s degree,Data Analyst,20+ years,Other
India,Bachelor’s degree,Software Engineer,3-5 years,Python
India,Master’s degree,Student,3-5 years,Python
Canada,Master’s degree,Student,5-10 years,SQL
India,Bachelor’s degree,Student,1-2 years,Python
Canada,Doctoral degree,Data Scientist,5-10 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Machine Learning Engineer,5-10 years,Python
Colombia,Master’s degree,Software Engineer,3-5 years,Python
China,I prefer not to answer,DBA/Database Engineer,1-2 years,None
United States of America,Bachelor’s degree,Data Analyst,3-5 years,Python
Nigeria,Doctoral degree,Other,< 1 years,Python
Spain,Master’s degree,Data Engineer,5-10 years,SQL
United States of America,Master’s degree,Business Analyst,20+ years,Python
Canada,Doctoral degree,Data Scientist,20+ years,Python
Portugal,Doctoral degree,Research Scientist,5-10 years,Python
Turkey,Bachelor’s degree,Product/Project Manager,1-2 years,SQL
Other,Master’s degree,Business Analyst,3-5 years,R
Japan,Master’s degree,Software Engineer,10-20 years,Python
Other,Master’s degree,Data Analyst,< 1 years,Python
India,Master’s degree,Data Engineer,10-20 years,Python
France,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Other,1-2 years,Python
Portugal,Bachelor’s degree,Student,5-10 years,Bash
Nigeria,Doctoral degree,Data Analyst,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
United States of America,Doctoral degree,Data Scientist,20+ years,Python
Republic of Korea,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-2 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,5-10 years,Python
India,Master’s degree,Other,1-2 years,MATLAB
Italy,Master’s degree,Other,< 1 years,Python
Russia,Master’s degree,Research Scientist,5-10 years,Python
Morocco,,,,
Mexico,Master’s degree,Software Engineer,10-20 years,Python
Belgium,Master’s degree,Currently not employed,1-2 years,Python
Pakistan,Master’s degree,Student,3-5 years,Python
Other,Professional degree,Data Analyst,1-2 years,Python
Pakistan,Master’s degree,Data Scientist,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,5-10 years,Python
Japan,Master’s degree,Other,< 1 years,Python
Kenya,Bachelor’s degree,Data Analyst,< 1 years,Python
India,Doctoral degree,Research Scientist,1-2 years,Python
United Arab Emirates,Bachelor’s degree,Student,3-5 years,Python
Thailand,Doctoral degree,Research Scientist,3-5 years,Python
India,Master’s degree,Product/Project Manager,5-10 years,R
India,Bachelor’s degree,Currently not employed,1-2 years,Python
Pakistan,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Poland,Master’s degree,Product/Project Manager,10-20 years,Python
Germany,Master’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
France,Master’s degree,DBA/Database Engineer,5-10 years,Python
India,Master’s degree,Other,20+ years,Python
Russia,Bachelor’s degree,Software Engineer,1-2 years,Python
Colombia,Master’s degree,Data Analyst,10-20 years,R
United States of America,Master’s degree,Other,3-5 years,SQL
Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Student,< 1 years,Python
Belarus,Professional degree,Software Engineer,1-2 years,Python
Japan,Doctoral degree,Student,5-10 years,
India,Bachelor’s degree,Data Scientist,3-5 years,Python
Chile,Bachelor’s degree,Product/Project Manager,3-5 years,Python
Brazil,Master’s degree,Machine Learning Engineer,1-2 years,MATLAB
Pakistan,Doctoral degree,Machine Learning Engineer,< 1 years,Java
India,I prefer not to answer,Data Engineer,3-5 years,Python
Nigeria,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
France,Master’s degree,Data Scientist,3-5 years,Python
United States of America,Master’s degree,Data Scientist,20+ years,SQL
Viet Nam,Master’s degree,Data Analyst,< 1 years,Python
Argentina,Bachelor’s degree,Software Engineer,5-10 years,Python
Singapore,Bachelor’s degree,Other,3-5 years,Python
India,I prefer not to answer,,,
India,Bachelor’s degree,Software Engineer,3-5 years,SQL
Australia,Master’s degree,Data Analyst,20+ years,Python
Other,Bachelor’s degree,Student,3-5 years,Python
United States of America,No formal education past high school,Currently not employed,1-2 years,Python
India,I prefer not to answer,Research Scientist,1-2 years,R
Germany,,,,
India,Bachelor’s degree,Data Analyst,< 1 years,Python
Netherlands,Bachelor’s degree,Data Analyst,5-10 years,Python
United States of America,Doctoral degree,Data Scientist,10-20 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Brazil,Master’s degree,Business Analyst,< 1 years,Python
Viet Nam,Bachelor’s degree,Machine Learning Engineer,5-10 years,C
Russia,Master’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Other,< 1 years,SQL
India,I prefer not to answer,Student,< 1 years,Python
United States of America,Doctoral degree,Research Scientist,10-20 years,Julia
India,Master’s degree,Product/Project Manager,< 1 years,Python
Nigeria,Bachelor’s degree,Student,1-2 years,Python
Italy,Master’s degree,Currently not employed,5-10 years,Python
Brazil,Bachelor’s degree,Software Engineer,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Brazil,Master’s degree,Data Scientist,1-2 years,Python
Other,,,,
Pakistan,Master’s degree,Software Engineer,3-5 years,Python
Netherlands,Master’s degree,Data Scientist,20+ years,R
Germany,Doctoral degree,Other,1-2 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
India,Master’s degree,Software Engineer,,
India,Bachelor’s degree,Software Engineer,< 1 years,Python
United States of America,Bachelor’s degree,Software Engineer,5-10 years,Python
United States of America,Doctoral degree,Research Scientist,5-10 years,R
Other,Master’s degree,Currently not employed,3-5 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
Japan,Master’s degree,Student,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
France,Doctoral degree,Other,20+ years,Python
United States of America,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Master’s degree,Data Analyst,< 1 years,Python
Brazil,Master’s degree,Software Engineer,20+ years,Python
Ukraine,Doctoral degree,Data Scientist,5-10 years,Python
Other,Master’s degree,Student,1-2 years,Python
Spain,Master’s degree,Currently not employed,3-5 years,R
India,Bachelor’s degree,Other,1-2 years,Python
India,Master’s degree,Data Scientist,< 1 years,Python
Switzerland,Doctoral degree,Currently not employed,3-5 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Other,5-10 years,Python
United States of America,Master’s degree,Research Scientist,1-2 years,Python
Russia,Master’s degree,Software Engineer,3-5 years,C++
Brazil,Bachelor’s degree,Currently not employed,3-5 years,R
India,,,,
Pakistan,Bachelor’s degree,Student,3-5 years,Python
India,Doctoral degree,Research Scientist,3-5 years,Python
Canada,Master’s degree,Software Engineer,5-10 years,Julia
India,Bachelor’s degree,Data Engineer,3-5 years,Python
France,Doctoral degree,Product/Project Manager,20+ years,Python
Bangladesh,Bachelor’s degree,Software Engineer,3-5 years,Python
India,I prefer not to answer,Student,< 1 years,Python
Taiwan,Master’s degree,Software Engineer,10-20 years,Python
India,I prefer not to answer,Student,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Student,1-2 years,R
India,Bachelor’s degree,Currently not employed,1-2 years,Python
United Arab Emirates,Master’s degree,Student,3-5 years,Python
Japan,Master’s degree,Software Engineer,5-10 years,Python
"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,5-10 years,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,10-20 years,C++
Other,Master’s degree,DBA/Database Engineer,10-20 years,Python
United States of America,Bachelor’s degree,Student,< 1 years,Python
India,Doctoral degree,Other,5-10 years,R
India,Bachelor’s degree,Data Scientist,< 1 years,None
Colombia,Professional degree,Student,1-2 years,Python
Brazil,Bachelor’s degree,Other,5-10 years,Python
Netherlands,Doctoral degree,Data Scientist,10-20 years,R
France,Master’s degree,,,
Portugal,Master’s degree,Currently not employed,< 1 years,Python
Brazil,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Currently not employed,5-10 years,Python
India,Bachelor’s degree,Software Engineer,5-10 years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,MATLAB
India,Doctoral degree,Other,3-5 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
India,Bachelor’s degree,,,
Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Java
India,Bachelor’s degree,Data Scientist,< 1 years,Python
Pakistan,Doctoral degree,Research Scientist,,
Egypt,Bachelor’s degree,Other,3-5 years,Python
Spain,Master’s degree,Data Analyst,< 1 years,SQL
France,Doctoral degree,Research Scientist,5-10 years,Python
China,Master’s degree,Student,3-5 years,Python
Belarus,Master’s degree,Data Scientist,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,SQL
Japan,Doctoral degree,Research Scientist,5-10 years,Python
Russia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Mexico,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
United States of America,Doctoral degree,Machine Learning Engineer,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Portugal,Master’s degree,Data Scientist,1-2 years,Python
Indonesia,Bachelor’s degree,Statistician,1-2 years,R
India,Doctoral degree,Student,1-2 years,Python
Japan,Master’s degree,Other,20+ years,Python
India,Some college/university study without earning a bachelor’s degree,Business Analyst,1-2 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
India,Master’s degree,Other,5-10 years,Python
Canada,Doctoral degree,Research Scientist,10-20 years,Python
Portugal,Master’s degree,Other,3-5 years,Python
China,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Student,1-2 years,Python
Israel,Master’s degree,Data Analyst,1-2 years,Python
India,Master’s degree,Business Analyst,< 1 years,Python
France,Master’s degree,Product/Project Manager,1-2 years,Python
United States of America,Master’s degree,Data Scientist,5-10 years,Python
Poland,Bachelor’s degree,Student,3-5 years,Python
United States of America,Bachelor’s degree,Currently not employed,10-20 years,Python
Japan,Master’s degree,Student,1-2 years,Python
India,Master’s degree,Machine Learning Engineer,1-2 years,C
Brazil,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Data Scientist,5-10 years,R
United States of America,Bachelor’s degree,Student,3-5 years,Python
Turkey,I prefer not to answer,Student,3-5 years,Python
United States of America,Master’s degree,Product/Project Manager,1-2 years,Python
United States of America,Master’s degree,Statistician,3-5 years,Python
Colombia,Master’s degree,Student,1-2 years,Python
Other,Master’s degree,Other,20+ years,R
India,Professional degree,Student,1-2 years,Python
United States of America,Bachelor’s degree,Business Analyst,< 1 years,Python
France,Master’s degree,Other,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
United States of America,Doctoral degree,Data Scientist,3-5 years,Python
Colombia,Bachelor’s degree,Data Analyst,1-2 years,Python
Other,Master’s degree,Student,< 1 years,Python
Viet Nam,Some college/university study without earning a bachelor’s degree,Student,3-5 years,C++
Russia,Master’s degree,Data Scientist,< 1 years,Python
Germany,Master’s degree,Software Engineer,20+ years,Python
India,Master’s degree,Student,1-2 years,Python
Israel,,,,
Canada,Bachelor’s degree,Data Scientist,3-5 years,Python
Colombia,Doctoral degree,Other,10-20 years,Python
Other,Master’s degree,Data Scientist,1-2 years,SQL
Canada,Doctoral degree,Data Scientist,20+ years,Python
India,Master’s degree,Statistician,1-2 years,R
India,Master’s degree,Student,1-2 years,Python
Russia,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,None
India,Bachelor’s degree,Student,1-2 years,Python
Russia,Master’s degree,Data Scientist,5-10 years,Python
Other,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,Python
India,Professional degree,Data Scientist,1-2 years,Python
United States of America,Master’s degree,Business Analyst,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Other,,
Australia,Bachelor’s degree,Data Analyst,20+ years,Python
France,Master’s degree,Data Scientist,1-2 years,Python
Nepal,Bachelor’s degree,Student,< 1 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,R
Indonesia,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python
Egypt,Bachelor’s degree,Data Analyst,1-2 years,Python
India,Master’s degree,Student,3-5 years,Python
Bangladesh,Bachelor’s degree,Software Engineer,3-5 years,Python
Germany,Master’s degree,Research Scientist,< 1 years,Python
Brazil,Doctoral degree,Data Scientist,5-10 years,Python
India,Master’s degree,Data Scientist,5-10 years,Python
United States of America,Master’s degree,DBA/Database Engineer,5-10 years,Python
India,Doctoral degree,Research Scientist,5-10 years,Python
India,Master’s degree,Data Scientist,5-10 years,Python
China,Master’s degree,Data Analyst,1-2 years,Python
Other,,,,
India,Professional degree,Student,< 1 years,Python
Mexico,Master’s degree,Data Engineer,3-5 years,Python
Australia,Master’s degree,Student,1-2 years,Python
Malaysia,I prefer not to answer,Student,< 1 years,Python
Japan,Bachelor’s degree,Data Scientist,20+ years,R
Russia,Bachelor’s degree,Student,1-2 years,Python
Belgium,Master’s degree,Software Engineer,20+ years,Python
Brazil,Bachelor’s degree,Student,3-5 years,Python
Singapore,Bachelor’s degree,Data Scientist,1-2 years,Python
Brazil,Doctoral degree,Research Scientist,3-5 years,Python
Russia,Master’s degree,Business Analyst,< 1 years,Python
Egypt,Bachelor’s degree,Currently not employed,< 1 years,Javascript
Nigeria,Master’s degree,Data Analyst,1-2 years,Python
India,Master’s degree,Machine Learning Engineer,20+ years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Master’s degree,Student,1-2 years,Python
Malaysia,Bachelor’s degree,Student,1-2 years,Java
Japan,Master’s degree,Currently not employed,< 1 years,None
India,Bachelor’s degree,Student,1-2 years,Python
Israel,Doctoral degree,Machine Learning Engineer,20+ years,Python
Japan,Some college/university study without earning a bachelor’s degree,Student,,
South Africa,Bachelor’s degree,Student,< 1 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Product/Project Manager,1-2 years,Python
"Iran, Islamic Republic of...",Master’s degree,Student,< 1 years,Python
India,No formal education past high school,Machine Learning Engineer,10-20 years,R
Canada,Master’s degree,Student,< 1 years,R
Japan,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Student,< 1 years,Python
Other,Master’s degree,Software Engineer,5-10 years,Python
Brazil,Bachelor’s degree,Student,< 1 years,Python
Other,Master’s degree,Data Analyst,1-2 years,SQL
Other,Professional degree,Data Analyst,< 1 years,Python
India,No formal education past high school,Student,3-5 years,Python
Spain,Master’s degree,Statistician,20+ years,R
Philippines,Bachelor’s degree,Student,1-2 years,SQL
Taiwan,Master’s degree,Product/Project Manager,3-5 years,Python
Taiwan,Master’s degree,Data Scientist,3-5 years,Python
Spain,Master’s degree,Software Engineer,20+ years,Python
Canada,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Student,1-2 years,Python
China,Doctoral degree,Student,1-2 years,Python
United States of America,Professional degree,Student,3-5 years,Python
France,Doctoral degree,Product/Project Manager,5-10 years,Java
Brazil,Master’s degree,Data Analyst,1-2 years,Python
Malaysia,Master’s degree,Machine Learning Engineer,3-5 years,Python
Malaysia,Master’s degree,Data Analyst,10-20 years,Python
India,Master’s degree,Student,1-2 years,Python
Bangladesh,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Peru,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
Mexico,Bachelor’s degree,Software Engineer,3-5 years,C
Thailand,Master’s degree,Student,3-5 years,C
Ukraine,Master’s degree,Machine Learning Engineer,10-20 years,Python
Poland,Master’s degree,Business Analyst,20+ years,Python
India,Professional degree,Product/Project Manager,10-20 years,Python
India,Master’s degree,Business Analyst,< 1 years,SQL
Spain,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Bachelor’s degree,Data Scientist,5-10 years,SQL
Other,Doctoral degree,Data Scientist,10-20 years,Python
Chile,Professional degree,Research Scientist,20+ years,Python
Germany,Bachelor’s degree,Software Engineer,20+ years,R
Turkey,Master’s degree,Student,1-2 years,Python
Sri Lanka,Bachelor’s degree,Student,1-2 years,Python
Brazil,Bachelor’s degree,Business Analyst,1-2 years,Python
India,Master’s degree,Data Scientist,10-20 years,Python
Malaysia,Master’s degree,Software Engineer,5-10 years,Python
United States of America,Master’s degree,Other,3-5 years,Python
Italy,Bachelor’s degree,Product/Project Manager,20+ years,Python
South Korea,No formal education past high school,Student,1-2 years,Python
India,Professional degree,Student,3-5 years,Python
India,Master’s degree,,,
Other,Bachelor’s degree,Data Analyst,1-2 years,R
Other,Doctoral degree,Product/Project Manager,1-2 years,Python
Nigeria,Bachelor’s degree,Student,< 1 years,Python
United States of America,Master’s degree,Student,5-10 years,Python
India,Doctoral degree,Research Scientist,3-5 years,Python
India,,,,
Japan,Master’s degree,Student,3-5 years,Python
United States of America,Bachelor’s degree,Data Scientist,1-2 years,
France,Master’s degree,Product/Project Manager,1-2 years,Python
India,Master’s degree,Software Engineer,1-2 years,Python
India,Master’s degree,Data Engineer,10-20 years,SQL
India,Bachelor’s degree,Other,< 1 years,Python
Japan,Master’s degree,Software Engineer,10-20 years,Python
Nigeria,Bachelor’s degree,Other,1-2 years,Python
United States of America,Master’s degree,Data Analyst,20+ years,R
Germany,Master’s degree,Software Engineer,10-20 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
India,Doctoral degree,Other,1-2 years,MATLAB
Netherlands,Bachelor’s degree,Student,1-2 years,Python
Italy,Master’s degree,Data Scientist,< 1 years,SQL
Australia,Master’s degree,Currently not employed,3-5 years,
Italy,Doctoral degree,Currently not employed,3-5 years,Python
Greece,Master’s degree,Student,3-5 years,Python
Other,Master’s degree,Data Scientist,5-10 years,Python
Other,Doctoral degree,Research Scientist,10-20 years,Julia
Other,Master’s degree,Data Scientist,5-10 years,Python
Russia,Master’s degree,Currently not employed,20+ years,Python
India,Bachelor’s degree,Student,1-2 years,C
United States of America,Doctoral degree,Research Scientist,10-20 years,Python
United States of America,Bachelor’s degree,Data Analyst,3-5 years,Python
Malaysia,Doctoral degree,Machine Learning Engineer,< 1 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
Japan,Bachelor’s degree,Student,< 1 years,Python
France,Master’s degree,Other,< 1 years,Python
Saudi Arabia,Master’s degree,Data Scientist,3-5 years,Python
France,Doctoral degree,Student,5-10 years,Python
United States of America,Bachelor’s degree,Software Engineer,20+ years,Python
Italy,Doctoral degree,Research Scientist,5-10 years,Python
Pakistan,Bachelor’s degree,Student,3-5 years,SQL
Peru,Some college/university study without earning a bachelor’s degree,Student,3-5 years,C++
India,Master’s degree,Statistician,< 1 years,SQL
Pakistan,Bachelor’s degree,Student,1-2 years,Python
India,Master’s degree,Product/Project Manager,20+ years,Python
Sweden,,,,
India,Master’s degree,Software Engineer,3-5 years,R
Germany,Master’s degree,Machine Learning Engineer,10-20 years,Python
Greece,Bachelor’s degree,Student,5-10 years,Python
Russia,Bachelor’s degree,Student,1-2 years,Python
Colombia,Bachelor’s degree,Student,< 1 years,Python
Taiwan,Master’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Python
India,Bachelor’s degree,Other,< 1 years,Python
United States of America,Bachelor’s degree,Data Scientist,20+ years,Python
Other,Master’s degree,Student,1-2 years,R
India,Master’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Student,< 1 years,
India,Bachelor’s degree,Business Analyst,3-5 years,C
Viet Nam,I prefer not to answer,Product/Project Manager,20+ years,Python
Italy,Master’s degree,Data Scientist,3-5 years,Python
India,Master’s degree,Software Engineer,< 1 years,Python
India,Bachelor’s degree,Product/Project Manager,1-2 years,Python
India,Master’s degree,Software Engineer,10-20 years,Python
Nigeria,Bachelor’s degree,Research Scientist,< 1 years,R
India,Master’s degree,Other,1-2 years,Python
Germany,Master’s degree,Statistician,10-20 years,R
India,Bachelor’s degree,Student,1-2 years,Python
Russia,Master’s degree,Business Analyst,5-10 years,SQL
Pakistan,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Russia,Bachelor’s degree,Student,< 1 years,Python
Russia,Professional degree,Product/Project Manager,1-2 years,Python
Other,Master’s degree,Research Scientist,< 1 years,Python
Tunisia,Master’s degree,Software Engineer,20+ years,Python
Russia,Master’s degree,Machine Learning Engineer,< 1 years,Python
Kenya,Bachelor’s degree,Machine Learning Engineer,3-5 years,R
India,Professional degree,Software Engineer,3-5 years,Python
India,Master’s degree,Other,3-5 years,Python
Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
"Iran, Islamic Republic of...",Master’s degree,Student,3-5 years,Python
United States of America,Master’s degree,Other,5-10 years,Python
Egypt,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
Australia,Master’s degree,Other,10-20 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
South Africa,Doctoral degree,Research Scientist,3-5 years,R
Other,Doctoral degree,Research Scientist,5-10 years,Python
India,Master’s degree,Data Analyst,1-2 years,Python
India,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Other,< 1 years,Python
United States of America,Master’s degree,Other,3-5 years,Python
Thailand,Professional degree,Data Scientist,3-5 years,Python
Other,Master’s degree,Product/Project Manager,10-20 years,Python
France,Bachelor’s degree,Currently not employed,< 1 years,Python
Other,Doctoral degree,Research Scientist,10-20 years,Python
Japan,Master’s degree,Data Scientist,5-10 years,Python
Nigeria,Bachelor’s degree,Student,1-2 years,Python
Peru,Doctoral degree,Research Scientist,10-20 years,R
India,Bachelor’s degree,Student,1-2 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Other,20+ years,Python
United States of America,Bachelor’s degree,Currently not employed,1-2 years,SQL
United States of America,Bachelor’s degree,Student,3-5 years,Python
United States of America,Doctoral degree,Student,1-2 years,Python
India,Master’s degree,Data Analyst,< 1 years,SQL
China,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,5-10 years,Python
United States of America,Master’s degree,Data Scientist,3-5 years,Python
United States of America,Doctoral degree,Data Scientist,10-20 years,Python
Canada,Professional degree,Data Scientist,3-5 years,SQL
United States of America,Master’s degree,Other,1-2 years,R
India,Master’s degree,Business Analyst,5-10 years,C++
Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years,C
India,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Business Analyst,< 1 years,Python
Mexico,Bachelor’s degree,Business Analyst,20+ years,Python
United States of America,Doctoral degree,Data Scientist,10-20 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,3-5 years,Python
India,Bachelor’s degree,Student,5-10 years,Python
United States of America,Bachelor’s degree,Data Engineer,10-20 years,Python
India,Bachelor’s degree,Data Scientist,< 1 years,Python
Mexico,Bachelor’s degree,Software Engineer,3-5 years,Python
India,Master’s degree,Student,3-5 years,Python
Sri Lanka,Bachelor’s degree,Student,< 1 years,R
France,Master’s degree,Business Analyst,,
Philippines,Master’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Data Engineer,10-20 years,Python
Taiwan,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,Python
India,Bachelor’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Indonesia,Doctoral degree,Research Scientist,3-5 years,Python
Morocco,Some college/university study without earning a bachelor’s degree,Student,,
United States of America,Master’s degree,Student,5-10 years,Python
Thailand,Bachelor’s degree,Other,3-5 years,Python
Bangladesh,Master’s degree,Data Analyst,< 1 years,Python
India,I prefer not to answer,Student,1-2 years,Python
Other,Master’s degree,Student,3-5 years,Python
Other,Bachelor’s degree,Product/Project Manager,10-20 years,Python
Malaysia,Doctoral degree,Currently not employed,< 1 years,Python
India,Professional degree,Software Engineer,1-2 years,C++
Poland,Master’s degree,Data Scientist,5-10 years,Python
Nigeria,Bachelor’s degree,Software Engineer,3-5 years,Python
India,Master’s degree,Software Engineer,3-5 years,Python
Germany,Master’s degree,Product/Project Manager,20+ years,Python
South Africa,Bachelor’s degree,Currently not employed,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,< 1 years,R
Russia,Master’s degree,Data Scientist,1-2 years,Python
United States of America,Bachelor’s degree,Other,3-5 years,SQL
Colombia,Master’s degree,Data Scientist,3-5 years,R
India,Bachelor’s degree,Student,3-5 years,Python
India,Doctoral degree,Other,5-10 years,Python
Canada,Bachelor’s degree,Other,3-5 years,
Indonesia,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
United States of America,Master’s degree,Business Analyst,10-20 years,R
India,,,,
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,1-2 years,SQL
Colombia,Doctoral degree,Research Scientist,< 1 years,SQL
South Korea,Master’s degree,Machine Learning Engineer,5-10 years,Python
Other,Master’s degree,Business Analyst,< 1 years,SQL
Other,Master’s degree,Software Engineer,3-5 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
Nigeria,Bachelor’s degree,Student,1-2 years,Python
South Korea,Bachelor’s degree,Business Analyst,1-2 years,Python
Mexico,Master’s degree,Data Scientist,10-20 years,Python
India,Bachelor’s degree,Student,< 1 years,SQL
Pakistan,Bachelor’s degree,Software Engineer,3-5 years,SQL
Other,No formal education past high school,Software Engineer,5-10 years,Python
Spain,Bachelor’s degree,Data Scientist,5-10 years,R
Mexico,Bachelor’s degree,Currently not employed,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
France,Master’s degree,Machine Learning Engineer,5-10 years,Python
Other,Bachelor’s degree,Business Analyst,1-2 years,Python
Pakistan,Master’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Python
Viet Nam,Doctoral degree,Research Scientist,5-10 years,Python
China,Master’s degree,Data Analyst,,
Colombia,Bachelor’s degree,Currently not employed,< 1 years,Python
Colombia,Bachelor’s degree,Other,3-5 years,SQL
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,
United States of America,Master’s degree,Machine Learning Engineer,10-20 years,SQL
Israel,,,,
Italy,Master’s degree,Data Analyst,5-10 years,Python
"Iran, Islamic Republic of...",Doctoral degree,Data Scientist,10-20 years,Python
India,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Japan,Master’s degree,Machine Learning Engineer,10-20 years,Python
United States of America,Master’s degree,Currently not employed,3-5 years,Python
United States of America,I prefer not to answer,Software Engineer,20+ years,Python
Republic of Korea,Master’s degree,Other,< 1 years,Python
United Arab Emirates,Bachelor’s degree,Other,1-2 years,Python
Russia,Master’s degree,Currently not employed,< 1 years,Python
United States of America,Master’s degree,Statistician,20+ years,R
United States of America,Master’s degree,Student,1-2 years,R
Other,Doctoral degree,Data Scientist,5-10 years,Python
Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
Russia,Master’s degree,Data Scientist,1-2 years,Python
India,Master’s degree,Software Engineer,10-20 years,Other
Malaysia,Master’s degree,Machine Learning Engineer,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,
Japan,Bachelor’s degree,Statistician,5-10 years,Python
South Africa,Bachelor’s degree,Data Analyst,5-10 years,Python
