Q3,Q4,Q5,Q6,prog_lang,selected_lang
Egypt,Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
Other,Doctoral degree,Student,< 1 years,Q7_Part_11,MATLAB
Other,I prefer not to answer,Data Engineer,< 1 years,Q7_Part_11,MATLAB
Turkey,Master’s degree,Machine Learning Engineer,1-2 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
Netherlands,Doctoral degree,Other,< 1 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
India,Master’s degree,Product/Project Manager,10-20 years,Q7_Part_11,MATLAB
India,Master’s degree,Currently not employed,< 1 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Other,5-10 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_11,MATLAB
Bangladesh,Master’s degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
India,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Spain,Master’s degree,Product/Project Manager,3-5 years,Q7_Part_11,MATLAB
Belgium,Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
Tunisia,Doctoral degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
Mexico,Master’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
Pakistan,Doctoral degree,Data Scientist,< 1 years,Q7_Part_11,MATLAB
Greece,Doctoral degree,Other,10-20 years,Q7_Part_11,MATLAB
India,Master’s degree,Currently not employed,< 1 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Data Analyst,10-20 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Malaysia,Master’s degree,Currently not employed,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,5-10 years,Q7_Part_11,MATLAB
China,Master’s degree,Business Analyst,< 1 years,Q7_Part_11,MATLAB
Thailand,Bachelor’s degree,Machine Learning Engineer,< 1 years,Q7_Part_11,MATLAB
Other,Master’s degree,Research Scientist,1-2 years,Q7_Part_11,MATLAB
Netherlands,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Sweden,Master’s degree,Student,10-20 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Doctoral degree,Data Scientist,3-5 years,Q7_Part_11,MATLAB
Taiwan,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Q7_Part_11,MATLAB
Brazil,Doctoral degree,Student,3-5 years,Q7_Part_11,MATLAB
Tunisia,Doctoral degree,Data Scientist,< 1 years,Q7_Part_11,MATLAB
India,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_11,MATLAB
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,10-20 years,Q7_Part_11,MATLAB
Ukraine,Doctoral degree,Data Scientist,20+ years,Q7_Part_11,MATLAB
Nigeria,Master’s degree,Business Analyst,< 1 years,Q7_Part_11,MATLAB
Greece,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_11,MATLAB
Russia,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Other,Doctoral degree,Data Scientist,10-20 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Software Engineer,10-20 years,Q7_Part_11,MATLAB
Turkey,Doctoral degree,Student,5-10 years,Q7_Part_11,MATLAB
United States of America,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Indonesia,Some college/university study without earning a bachelor’s degree,Currently not employed,3-5 years,Q7_Part_11,MATLAB
Taiwan,Master’s degree,Student,5-10 years,Q7_Part_11,MATLAB
United States of America,Bachelor’s degree,Other,1-2 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Data Scientist,20+ years,Q7_Part_11,MATLAB
Ukraine,I prefer not to answer,Data Scientist,20+ years,Q7_Part_11,MATLAB
Peru,Doctoral degree,Currently not employed,3-5 years,Q7_Part_11,MATLAB
Spain,Doctoral degree,Machine Learning Engineer,10-20 years,Q7_Part_11,MATLAB
Kenya,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_11,MATLAB
Thailand,Bachelor’s degree,Other,1-2 years,Q7_Part_11,MATLAB
Japan,Master’s degree,Other,1-2 years,Q7_Part_11,MATLAB
Mexico,Bachelor’s degree,Student,5-10 years,Q7_Part_11,MATLAB
Canada,Master’s degree,Student,5-10 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Master’s degree,Other,1-2 years,Q7_Part_11,MATLAB
Singapore,Doctoral degree,Research Scientist,< 1 years,Q7_Part_11,MATLAB
Indonesia,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
China,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
United States of America,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,10-20 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Student,5-10 years,Q7_Part_11,MATLAB
China,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Other,Doctoral degree,Research Scientist,1-2 years,Q7_Part_11,MATLAB
China,Master’s degree,Data Engineer,5-10 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_11,MATLAB
Japan,Master’s degree,Software Engineer,20+ years,Q7_Part_11,MATLAB
Greece,Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Doctoral degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
India,Professional degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
Other,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Italy,Master’s degree,Other,3-5 years,Q7_Part_11,MATLAB
Egypt,Doctoral degree,Machine Learning Engineer,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Business Analyst,3-5 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Student,5-10 years,Q7_Part_11,MATLAB
South Africa,Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
India,Master’s degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
Ukraine,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
India,Doctoral degree,Research Scientist,1-2 years,Q7_Part_11,MATLAB
China,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
China,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Turkey,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
France,Master’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Currently not employed,10-20 years,Q7_Part_11,MATLAB
Republic of Korea,Bachelor’s degree,Data Engineer,< 1 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
China,Bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
India,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Sweden,Doctoral degree,Other,10-20 years,Q7_Part_11,MATLAB
India,Professional degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
India,Master’s degree,Data Scientist,3-5 years,Q7_Part_11,MATLAB
Egypt,Doctoral degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
Taiwan,Master’s degree,Currently not employed,3-5 years,Q7_Part_11,MATLAB
China,Bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
Peru,Doctoral degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
Morocco,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Greece,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
France,Professional degree,Other,3-5 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
United Arab Emirates,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_11,MATLAB
Morocco,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
India,Master’s degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
India,Master’s degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
China,Doctoral degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
India,Doctoral degree,Machine Learning Engineer,< 1 years,Q7_Part_11,MATLAB
Indonesia,Master’s degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
India,Doctoral degree,Student,1-2 years,Q7_Part_11,MATLAB
India,Doctoral degree,Student,5-10 years,Q7_Part_11,MATLAB
India,Doctoral degree,Research Scientist,20+ years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Other,1-2 years,Q7_Part_11,MATLAB
Tunisia,Professional degree,Data Engineer,5-10 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
China,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Other,10-20 years,Q7_Part_11,MATLAB
Russia,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Viet Nam,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Canada,Doctoral degree,Machine Learning Engineer,10-20 years,Q7_Part_11,MATLAB
Other,Master’s degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
Other,Doctoral degree,Currently not employed,20+ years,Q7_Part_11,MATLAB
Sri Lanka,Master’s degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
United States of America,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
China,Doctoral degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
Egypt,Professional degree,Data Engineer,3-5 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Student,3-5 years,Q7_Part_11,MATLAB
Other,Doctoral degree,Other,5-10 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Germany,Master’s degree,Currently not employed,5-10 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
Other,Master’s degree,Data Scientist,10-20 years,Q7_Part_11,MATLAB
Russia,Master’s degree,Data Scientist,1-2 years,Q7_Part_11,MATLAB
Ireland,Master’s degree,Data Analyst,1-2 years,Q7_Part_11,MATLAB
India,Master’s degree,Currently not employed,3-5 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Other,5-10 years,Q7_Part_11,MATLAB
India,Master’s degree,Other,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
India,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_11,MATLAB
Tunisia,Professional degree,Other,3-5 years,Q7_Part_11,MATLAB
Brazil,Master’s degree,Machine Learning Engineer,1-2 years,Q7_Part_11,MATLAB
Nigeria,Doctoral degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
India,Doctoral degree,Other,3-5 years,Q7_Part_11,MATLAB
Tunisia,Doctoral degree,Research Scientist,1-2 years,Q7_Part_11,MATLAB
Brazil,Master’s degree,Data Scientist,10-20 years,Q7_Part_11,MATLAB
India,Master’s degree,Other,< 1 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Statistician,20+ years,Q7_Part_11,MATLAB
Germany,Professional degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
India,Doctoral degree,Other,5-10 years,Q7_Part_11,MATLAB
Viet Nam,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
Canada,Master’s degree,Currently not employed,< 1 years,Q7_Part_11,MATLAB
Indonesia,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Student,5-10 years,Q7_Part_11,MATLAB
India,I prefer not to answer,Currently not employed,3-5 years,Q7_Part_11,MATLAB
Mexico,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_11,MATLAB
Egypt,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Germany,Master’s degree,Business Analyst,5-10 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Turkey,Doctoral degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Data Scientist,20+ years,Q7_Part_11,MATLAB
Argentina,Master’s degree,Data Analyst,< 1 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Bachelor’s degree,Software Engineer,10-20 years,Q7_Part_11,MATLAB
Spain,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Egypt,Doctoral degree,Other,20+ years,Q7_Part_11,MATLAB
Pakistan,Master’s degree,Other,< 1 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Currently not employed,< 1 years,Q7_Part_11,MATLAB
Italy,Bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Netherlands,Master’s degree,Data Engineer,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Business Analyst,< 1 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Doctoral degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
Israel,Doctoral degree,Other,20+ years,Q7_Part_11,MATLAB
India,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Malaysia,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_11,MATLAB
Sweden,Master’s degree,Other,1-2 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Pakistan,Master’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
India,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Mexico,Bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Brazil,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_11,MATLAB
Morocco,Master’s degree,Currently not employed,5-10 years,Q7_Part_11,MATLAB
Portugal,Doctoral degree,Research Scientist,20+ years,Q7_Part_11,MATLAB
Viet Nam,Master’s degree,Product/Project Manager,1-2 years,Q7_Part_11,MATLAB
Sweden,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Other,Master’s degree,Other,3-5 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Doctoral degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
Italy,Bachelor’s degree,Statistician,20+ years,Q7_Part_11,MATLAB
Malaysia,Doctoral degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
Turkey,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_11,MATLAB
Japan,Master’s degree,Research Scientist,1-2 years,Q7_Part_11,MATLAB
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Japan,Master’s degree,Product/Project Manager,1-2 years,Q7_Part_11,MATLAB
Kenya,Bachelor’s degree,Data Analyst,< 1 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
India,Master’s degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
Viet Nam,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
Bangladesh,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
India,Master’s degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
India,Master’s degree,Data Analyst,1-2 years,Q7_Part_11,MATLAB
Spain,Doctoral degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Business Analyst,10-20 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Saudi Arabia,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Morocco,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
South Korea,Doctoral degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_11,MATLAB
Brazil,Doctoral degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_11,MATLAB
Turkey,Master’s degree,Machine Learning Engineer,1-2 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Data Scientist,< 1 years,Q7_Part_11,MATLAB
Brazil,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
Egypt,Doctoral degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
India,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
India,Doctoral degree,Student,1-2 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Student,3-5 years,Q7_Part_11,MATLAB
Tunisia,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Indonesia,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Doctoral degree,Machine Learning Engineer,10-20 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_11,MATLAB
Morocco,Master’s degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
Colombia,Master’s degree,Other,< 1 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_11,MATLAB
Other,Master’s degree,Data Engineer,3-5 years,Q7_Part_11,MATLAB
Brazil,Doctoral degree,Research Scientist,20+ years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Chile,Master’s degree,Data Scientist,20+ years,Q7_Part_11,MATLAB
Italy,Doctoral degree,Data Analyst,3-5 years,Q7_Part_11,MATLAB
Ukraine,Doctoral degree,Research Scientist,20+ years,Q7_Part_11,MATLAB
Japan,Bachelor’s degree,Data Analyst,10-20 years,Q7_Part_11,MATLAB
Taiwan,Master’s degree,Software Engineer,10-20 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
China,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Germany,Doctoral degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
Egypt,Master’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
Ukraine,Bachelor’s degree,Other,1-2 years,Q7_Part_11,MATLAB
Thailand,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Japan,Doctoral degree,Student,3-5 years,Q7_Part_11,MATLAB
India,Doctoral degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Currently not employed,10-20 years,Q7_Part_11,MATLAB
Romania,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Greece,Master’s degree,Machine Learning Engineer,< 1 years,Q7_Part_11,MATLAB
China,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Tunisia,Master’s degree,Data Scientist,< 1 years,Q7_Part_11,MATLAB
India,Master’s degree,Other,3-5 years,Q7_Part_11,MATLAB
Russia,Master’s degree,Data Scientist,3-5 years,Q7_Part_11,MATLAB
France,Doctoral degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
Other,I prefer not to answer,Currently not employed,< 1 years,Q7_Part_11,MATLAB
Saudi Arabia,Doctoral degree,Machine Learning Engineer,5-10 years,Q7_Part_11,MATLAB
Other,Master’s degree,Machine Learning Engineer,1-2 years,Q7_Part_11,MATLAB
India,Doctoral degree,Student,5-10 years,Q7_Part_11,MATLAB
Turkey,Doctoral degree,Machine Learning Engineer,10-20 years,Q7_Part_11,MATLAB
Turkey,Doctoral degree,Machine Learning Engineer,5-10 years,Q7_Part_11,MATLAB
China,Master’s degree,Data Analyst,< 1 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_11,MATLAB
Peru,Professional degree,Student,< 1 years,Q7_Part_11,MATLAB
India,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Turkey,Master’s degree,Other,5-10 years,Q7_Part_11,MATLAB
Malaysia,Doctoral degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
India,Doctoral degree,Other,3-5 years,Q7_Part_11,MATLAB
United States of America,Bachelor’s degree,Other,3-5 years,Q7_Part_11,MATLAB
India,Master’s degree,Data Analyst,3-5 years,Q7_Part_11,MATLAB
Other,Doctoral degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_11,MATLAB
Indonesia,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Product/Project Manager,10-20 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Thailand,Doctoral degree,Other,20+ years,Q7_Part_11,MATLAB
India,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_11,MATLAB
United States of America,Bachelor’s degree,Student,5-10 years,Q7_Part_11,MATLAB
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
Japan,Master’s degree,Student,5-10 years,Q7_Part_11,MATLAB
Russia,Professional degree,Data Analyst,1-2 years,Q7_Part_11,MATLAB
Turkey,Bachelor’s degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
India,Professional degree,Other,1-2 years,Q7_Part_11,MATLAB
Indonesia,I prefer not to answer,Data Analyst,1-2 years,Q7_Part_11,MATLAB
United States of America,Some college/university study without earning a bachelor’s degree,Data Scientist,10-20 years,Q7_Part_11,MATLAB
Other,Doctoral degree,Research Scientist,5-10 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
Mexico,Professional degree,Student,< 1 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Colombia,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Business Analyst,3-5 years,Q7_Part_11,MATLAB
Ukraine,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Sri Lanka,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Other,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
India,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
India,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Tunisia,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Morocco,Doctoral degree,Research Scientist,20+ years,Q7_Part_11,MATLAB
Russia,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Other,10-20 years,Q7_Part_11,MATLAB
Morocco,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Indonesia,Bachelor’s degree,Business Analyst,1-2 years,Q7_Part_11,MATLAB
Indonesia,Master’s degree,Research Scientist,< 1 years,Q7_Part_11,MATLAB
Turkey,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Germany,Professional degree,Other,20+ years,Q7_Part_11,MATLAB
Turkey,Bachelor’s degree,Student,1-2 years,Q7_Part_11,MATLAB
Pakistan,Master’s degree,Currently not employed,3-5 years,Q7_Part_11,MATLAB
India,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_11,MATLAB
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_11,MATLAB
India,Master’s degree,Currently not employed,10-20 years,Q7_Part_11,MATLAB
United States of America,Doctoral degree,Student,5-10 years,Q7_Part_11,MATLAB
Taiwan,Master’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Peru,Bachelor’s degree,Product/Project Manager,5-10 years,Q7_Part_11,MATLAB
France,Professional degree,DBA/Database Engineer,5-10 years,Q7_Part_11,MATLAB
Other,Doctoral degree,Research Scientist,20+ years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_11,MATLAB
South Korea,Professional degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
Spain,Master’s degree,Data Scientist,5-10 years,Q7_Part_11,MATLAB
Nigeria,Master’s degree,Software Engineer,3-5 years,Q7_Part_11,MATLAB
"Iran, Islamic Republic of...",Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Colombia,Doctoral degree,Data Scientist,10-20 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Student,5-10 years,Q7_Part_11,MATLAB
Romania,Bachelor’s degree,Student,5-10 years,Q7_Part_11,MATLAB
India,Master’s degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
United States of America,Master’s degree,Student,< 1 years,Q7_Part_11,MATLAB
Egypt,Bachelor’s degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
Peru,Doctoral degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
Morocco,Master’s degree,Data Engineer,3-5 years,Q7_Part_11,MATLAB
India,Master’s degree,Research Scientist,10-20 years,Q7_Part_11,MATLAB
India,Master’s degree,Data Analyst,3-5 years,Q7_Part_11,MATLAB
Viet Nam,Master’s degree,Business Analyst,3-5 years,Q7_Part_11,MATLAB
Pakistan,Bachelor’s degree,Student,3-5 years,Q7_Part_11,MATLAB
Ukraine,Doctoral degree,Research Scientist,3-5 years,Q7_Part_11,MATLAB
Indonesia,Master’s degree,Data Analyst,3-5 years,Q7_Part_11,MATLAB
Nigeria,Bachelor’s degree,Other,3-5 years,Q7_Part_11,MATLAB
Pakistan,Master’s degree,Student,1-2 years,Q7_Part_11,MATLAB
